sample,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26
Albania_Medieval:I13839,0.12520499999999998,0.15334499999999998,0.016215999999999998,-0.036176,0.03139,-0.013108,0,0.002077,0.007771999999999999,0.02278,-0.001949,0.003447,-0.014717,0.0013759999999999998,-0.021580000000000002,-0.010740000000000001,0.008995999999999999,0.004307,0.006535999999999999,-0.016508,-0.0072369999999999995,0.001113,0.005053,-0.001205,0.001676
Albania_Medieval:I14622,0.11610000000000001,0.155376,0.012445,-0.034884,0.017234,-0.0013939999999999998,-0.00423,-0.004615,-0.0016359999999999999,0.016947999999999998,0.0060079999999999995,0.007643,-0.011447,2.7499999999999996e-4,-0.016965,-0.014452,0.012126,-0.008615,0.010056,-0.014507,-0.011605,0.004946,-0.004314,-0.001566,-0.001676
Argentina_BeagleChannel_Yamana_100BP:I12941,0.056912,-0.32598499999999997,0.11917000000000001,0.096577,-0.118176,-0.019243,-0.291883,-0.347524,-0.011658,-0.014943,0.00406,-0.001199,0.001487,0.029588999999999997,-0.001493,0.002917,0.0010429999999999999,-0.004941,-0.0040219999999999995,0.008504,-0.0017469999999999999,0.005934999999999999,-0.006901999999999999,0.001687,-0.0032329999999999998
Argentina_BeagleChannel_Yamana_100BP:I12943,0.053497,-0.32395399999999996,0.122564,0.097223,-0.111098,-0.024263,-0.29329299999999997,-0.350755,-0.011249,-0.019499,-0.004222,-0.001798,0.001189,0.016928,0.0025789999999999997,0.003447,0.0041719999999999995,-0.001014,-0.0016339999999999998,0.001126,-0.004742,0.001237,-0.004807,-3.61e-4,-0.004071
Argentina_MitrePeninsula_Haush_400BP:I12356,0.053497,-0.313799,0.119547,0.099161,-0.115406,-0.020638,-0.293528,-0.350755,-0.005931,-0.015126,0,-0.006894,0.005648999999999999,0.021469,-0.004072,0.0057009999999999995,0.003912,-0.003294,0.0026400000000000004,3.75e-4,-0.0014969999999999998,0.001113,7.39e-4,-0.006868,-0.001078
Argentina_MitrePeninsula_Haush_400BP:I12357,0.052359,-0.317861,0.12520399999999998,0.092701,-0.124331,-0.027888999999999997,-0.296583,-0.346832,-0.022498,-0.015308,0.002111,0.006594,0.001041,0.022708,-6.789999999999999e-4,0.0076900000000000015,0.006128,-0.001267,0.005279,0.005503,-0.007861,-3.7099999999999996e-4,-0.002711,0.003856,-0.003113
Argentina_MitrePeninsula_Haush_400BP:I12358,0.050081999999999995,-0.32395399999999996,0.118039,0.096577,-0.121561,-0.025658,-0.28976799999999997,-0.346139,-0.012067,-0.014214,-0.0060079999999999995,0.006744,0.0050539999999999995,0.022708,-0.002714,0.003978,0.00691,-8.87e-4,-3.77e-4,0.004876999999999999,-0.005988999999999999,0.0019779999999999997,-0.007025,-0.001807,0.002036
Argentina_MitrePeninsula_Haush_400BP:I12359,0.05122,-0.322938,0.121056,0.091409,-0.115714,-0.022032,-0.292118,-0.353754,-0.01493,-0.010570000000000001,0.001137,5.989999999999999e-4,0,0.018579,-0.011401,0.002917,0.009388,-0.004814,0.004651,0.005253,-0.002995,7.419999999999999e-4,-0.004807,-0.004699,-2.3899999999999998e-4
Argentina_MitrePeninsula_Haush_400BP:I12360,0.056912,-0.335125,0.119924,0.108852,-0.122484,-0.016455,-0.290943,-0.337601,-0.014317,-0.013668,0.0060079999999999995,0.005245,-0.002825,0.041149,0.0066500000000000005,0.013789,0.019818,-0.011909,0.0012569999999999999,0.0030009999999999998,-0.010606,0.008532,0.002342,0.006025,-0.002155
Argentina_MitrePeninsula_Haush_400BP:I12361,0.058050000000000004,-0.313799,0.140289,0.096254,-0.1231,-0.018128,-0.293528,-0.344524,-0.020657,-0.030069,0.005196,-0.002098,-0.014717,0.008945,0.008822,0.0035800000000000003,0.01004,-7.6e-4,-0.004148,-3.75e-4,0,-0.00272,0.007025,0.002892,0.006945
Argentina_NorthTierradelFuego_Selknam_500BP:I12354,0.052359,-0.317861,0.119924,0.096577,-0.11756000000000001,-0.020917,-0.297523,-0.354908,-0.020043,-0.014761,-0.008768999999999999,-4.5e-4,0.001189,0.024359,-0.010993,0.006364,0.01017,-0.002534,-0.009804,-8.749999999999999e-4,2.5e-4,-0.002349,-0.003204,-0.002048,-0.002634
Argentina_NorthTierradelFuego_Selknam_500BP:I12364,0.06374099999999999,-0.317861,0.115776,0.095608,-0.12587,-0.021475,-0.278958,-0.336217,-0.013294,-0.006743,-4.8699999999999997e-4,0.008243,-0.005203,0.016101999999999998,-0.00285,7.959999999999998e-4,0.010952,0.003547,-0.005405,0.006627999999999999,0.006239,-0.001237,0.001725,-0.003735,0.003113
Argentina_NorthTierradelFuego_Selknam_500BP:I12367,0.059188,-0.31583,0.115022,0.0969,-0.120638,-0.026216,-0.281543,-0.341524,-0.019634,-0.012392,-0.010230000000000001,-7.49e-4,-0.0055000000000000005,0.030552,-0.00285,0.00305,0.002738,0.002154,-0.007164999999999999,0.001501,-0.003743,0.005193,-0.010969,0.002048,-0.005987
Armenia_EarlyMedieval:I1630,0.102441,0.133034,-0.057699,-0.057494,-0.026466,-0.005856999999999999,0.003994999999999999,-9.23e-4,-0.020452,-0.003827,0.008607,0.002398,-0.0050539999999999995,-0.001651,-0.0019,-3.9799999999999997e-4,0.004563,0.008107999999999999,0.006411,-0.0050019999999999995,0.002496,-0.006801,0.005176,0.006144999999999999,3.59e-4
Armenia_EarlyMedieval:I1659,0.105855,0.13100299999999998,-0.05506000000000001,-0.046189,-0.030159,-0.002231,-0.006110000000000002,-0.005769,-0.034769,-0.004373999999999999,-0.0068200000000000005,-0.0019479999999999999,-0.0055000000000000005,0.0013759999999999998,0.0031219999999999998,-0.006496999999999999,-0.008865999999999999,-6.33e-4,0.003645,1.25e-4,-0.0013729999999999999,-3.7099999999999996e-4,-0.0075179999999999995,-0.00241,0.005987
Armenia_EarlyMedieval:I1660,0.108132,0.135065,-0.049403,-0.046512,-0.033852,-0.013945,4.7e-4,-0.014538,-0.038041,-0.009659,0.00406,0.004946,-0.010852,0.001514,0.005157,-0.0035800000000000003,-0.001173,0.001267,0.0016339999999999998,0.003126,0.003868,0.006059,-1.2299999999999998e-4,-0.002892,0.004071
Austria_Ovilava_Roman.SG:R10665,0.12862,0.13811199999999998,0.032809,0.008721,0.029236,-0.0047409999999999996,0.007285,0.009692,0.005318,0.014579,-8.12e-4,0.008842,-0.002676,-0.004679,0.004614,-0.009016,-0.019427,0.003547,-1.26e-4,-0.002626,-0.003868,1.24e-4,9.86e-4,-0.001928,2.3899999999999998e-4
Austria_Ovilava_Roman.SG:R10666,0.12748199999999998,0.147252,0.031678,0,0.029543999999999997,-0.001952,-0.003994999999999999,-0.0027689999999999998,0.005522,0.015672,-0.0034100000000000003,0.004946,-0.012339,-0.003441,0.005429,-0.012198,-0.017731999999999998,-0.003927,-0.006158999999999999,-0.008254,-0.009483,0.002597,-0.002095,0.008796,0.001676
Bahamas_AbacoIsl_Ceramic:I13320,0.050081999999999995,-0.319892,0.12445,0.104006,-0.111098,-0.021753,-0.311859,-0.366216,-0.012271,-0.016401,8.12e-4,-0.004346,0.001487,0.031377999999999996,-0.008686,0.001989,6.52e-4,0.001014,0.001383,-0.002876,0.004118,0.008903,-0.0053,-0.001325,-0.002395
Bahamas_AbacoIsl_Ceramic:I14875,0.054635,-0.310752,0.118039,0.096254,-0.116637,-0.011156,-0.301049,-0.34890899999999997,-0.012885,-0.016219,-0.001299,-0.009292,0.003271,0.017752999999999998,-0.0076,-0.003315,0.009127,0.006461,-0.0026400000000000004,-0.004252,-0.002995,0.001237,9.86e-4,0.002771,-0.005627999999999999
Bahamas_AbacoIsl_Ceramic:I14922,0.053497,-0.314814,0.116907,0.10336000000000001,-0.116329,-0.017570000000000002,-0.305044,-0.361139,-0.016361999999999998,-0.016947999999999998,0.0017859999999999998,-4.5e-4,-0.004311,0.020093,-0.010043,0.008485999999999999,0.009257,0.0031669999999999997,-0.002263,-0.001751,0.013351,0.007418999999999999,-0.007888,-0.009158,-0.002515
Bahamas_AbacoIsl_Ceramic:I14923,0.046667,-0.314814,0.118039,0.101422,-0.118791,-0.018407,-0.31068399999999996,-0.35675399999999996,-0.020861,-0.014579,0.006658,0.005395,8.92e-4,0.018717,-0.008957999999999999,0.005170999999999999,0.005346,1.27e-4,-0.002137,0.008128999999999999,-8.73e-4,0.008284999999999999,4.93e-4,-0.0034939999999999997,-5.989999999999999e-4
Bahamas_EleutheraIsl_Ceramic:I14876,0.060326,-0.320907,0.105217,0.099161,-0.115714,-0.008367,-0.297523,-0.348447,-0.01084,-0.013485,-0.007306999999999999,7.49e-4,-4.46e-4,0.02202,-0.0057,-0.001326,0.012126,-0.004307,0.004651,0.005503,0.006613,0.006183,0.001232,-0.00241,0.006465999999999999
Bahamas_EleutheraIsl_Ceramic:I14878,0.046667,-0.317861,0.123318,0.098515,-0.10525000000000001,-0.017849,-0.30081399999999997,-0.35975399999999996,-0.010635,-0.011299,-0.005196,0.002548,5.949999999999999e-4,0.02202,-0.001086,0.007292,0.007040999999999999,0.0019,0.002137,-0.001251,-0.007487,0.0072959999999999995,-0.003204,0.009158,-0.002275
Bahamas_EleutheraIsl_Ceramic:I14920,0.054635,-0.31583,0.11653000000000001,0.093993,-0.121253,-0.0064139999999999996,-0.298699,-0.35675399999999996,-0.007771999999999999,-0.023508,0.002598,-0.007643,0.004162,0.020368,-0.006515,-7.959999999999998e-4,0.004955,-0.005574,-0.0016339999999999998,-0.002251,-2.5e-4,0.008779,9.86e-4,-0.004216999999999999,-0.002515
Bahamas_EleutheraIsl_Ceramic:I14921,0.048943999999999994,-0.309736,0.116153,0.096577,-0.114483,-0.015338999999999998,-0.301519,-0.354678,-0.010022,-0.008017999999999999,-4.8699999999999997e-4,0.0029969999999999997,7.43e-4,0.01913,-0.0044789999999999995,0.002254,0.008213999999999999,-0.006208,0.005279,-0.010505,1.25e-4,0.00272,2.4599999999999996e-4,-4.819999999999999e-4,-0.003712
Bahamas_EleutheraIsl_Ceramic_dup.I14878:I14878,0.046667,-0.317861,0.123318,0.098515,-0.10525000000000001,-0.017849,-0.30081399999999997,-0.35975399999999996,-0.010635,-0.011299,-0.005196,0.002548,5.949999999999999e-4,0.02202,-0.001086,0.007292,0.007040999999999999,0.0019,0.002137,-0.001251,-0.007487,0.0072959999999999995,-0.003204,0.009158,-0.002275
Bahamas_LongIsl_Ceramic:I13322,0.053497,-0.312783,0.128221,0.105622,-0.121253,-0.019522,-0.295643,-0.358831,-0.012067,-0.012392,0.0017859999999999998,-0.004946,0.006392,0.023809,-0.006785999999999999,0.006628999999999999,0.003781,-0.0019,-0.003771,-0.001251,-0.005988999999999999,0.007666,-0.00419,-9.64e-4,-4.79e-4
Bahamas_LongIsl_Ceramic:I13737,0.054635,-0.320907,0.126713,0.098515,-0.111713,-0.014781,-0.302459,-0.366216,-0.016770999999999998,-0.016037,-0.002436,-0.004946,0,0.021882,-0.010450000000000001,-0.001856,0.004824,-3.8e-4,0.004274,0.0020009999999999997,0,0.003339,0.005546,0.0026509999999999997,-2.3899999999999998e-4
Bahamas_LongIsl_Ceramic:I13738,0.040976,-0.311768,0.105971,0.105622,-0.112636,-0.014502,-0.31068399999999996,-0.349832,-0.011862,-0.019317,-0.0060079999999999995,-0.003297,0.003568,0.019542,-0.009772,0.005304,0.00678,-0.012415,-0.0050279999999999995,-0.004252,-0.00549,0.011376,-4.93e-4,0.003374,-0.006705999999999999
Bahamas_LongIsl_Ceramic:I13739,0.058050000000000004,-0.313799,0.118039,0.099161,-0.116022,-0.025937,-0.313034,-0.362985,-0.00634,-0.004920000000000002,-0.003735,0.003597,0.004162,0.032479,-0.013436,0.002519,-0.001825,-5.07e-4,-0.0027649999999999997,0.010755,1.25e-4,0.005193,-0.004807,0.00253,0.004311
Bahamas_SouthAndros_Ceramic:I13558,0.043253,-0.318876,0.112382,0.095285,-0.121869,-0.020917,-0.305984,-0.36460000000000004,-0.015338999999999998,-0.015854999999999998,0.002436,0.009142,-0.008622,0.026974,-0.016286,0.003978,0.002477,-0.0031669999999999997,0.009930000000000001,-0.0037519999999999997,0.009858,0.007790000000000002,-0.005423,-0.003253,-8.38e-4
Bahamas_SouthAndros_Ceramic:I13560,0.053497,-0.314814,0.112759,0.099807,-0.123408,-0.023427,-0.304574,-0.372677,-0.007771999999999999,-0.018406,0.011042,-0.007793,0.001933,0.021469,-0.012758,0.014452,0.002868,-0.012035,0.005405,0.009630000000000001,-0.007362,0.011994,-0.008627,-0.003856,-0.007305
Bahamas_SouthAndros_Ceramic:I14879,0.048943999999999994,-0.31583,0.117662,0.10013000000000001,-0.116329,-0.017012,-0.302459,-0.362062,-0.012476,-0.016401,-0.004222,-0.003597,0.002973,0.021882,-0.010043,0.001193,0.011995,-0.0011400000000000002,0.005656,0,0.003369,0.006306,-0.0034509999999999996,0,0.002874
Bahamas_SouthAndros_Ceramic:I14880,0.047806,-0.320907,0.118416,0.099807,-0.110174,-0.018407,-0.305514,-0.353985,-0.013499,-0.014032,-0.002923,-5.989999999999999e-4,0.001338,0.025047,-0.0044789999999999995,-0.004242999999999999,0.00678,0.002787,-0.005782,0.004627,-0.0044919999999999995,0.008655999999999999,-0.00419,0.003253,7.18e-4
Bahamas_SouthAndros_Ceramic:I14881,0.047806,-0.329032,0.11389,0.08785599999999999,-0.104019,-0.020359,-0.291883,-0.359523,-0.014112,-0.014214,0.001949,-0.0019479999999999999,-0.0055000000000000005,0.018717,-0.007736,0.0076900000000000015,0.009388,-0.004561,0.005154,-2.5e-4,-8.73e-4,0.0028439999999999997,0,-0.004338,-0.010658
Bahamas_SouthAndros_Ceramic:I14882,0.048943999999999994,-0.32598499999999997,0.122187,0.098838,-0.107097,-0.020917,-0.298934,-0.352831,-0.003068,-0.010934,0.004709,-0.004196,0.001487,0.012799,-0.004072,0.006762,0.002608,-0.002914,0.00817,0.004252,0.005614999999999999,0.007914,-0.00419,0.002048,-0.005149
Bahamas_SouthAndros_Ceramic:I14883,0.052359,-0.317861,0.116153,0.100453,-0.110482,-0.016176,-0.298699,-0.353524,-0.012271,-0.018041,9.739999999999999e-4,-7.49e-4,-0.003568,0.025734999999999997,-0.011536,3.9799999999999997e-4,0.008345,-0.0057009999999999995,-8.8e-4,0.004502,0.002745,0.0058119999999999995,-2.4599999999999996e-4,-0.004699,-1.2000000000000002e-4
Bahamas_Taino.SG:PC537,0.050081999999999995,-0.316845,0.114645,0.102068,-0.114791,-0.014502,-0.307629,-0.359523,-0.009613,-0.019499,-0.005033999999999999,-0.002698,-0.002081,0.015276,-0.002307,0.00305,0.008213999999999999,0.003547,-0.001006,0.0025009999999999998,0.002496,0.004946,-0.007148,-0.001446,-0.010538
Bolivia_Akapana_Tiwanaku:TW004,0.058050000000000004,-0.318876,0.121433,0.092378,-0.116945,-0.018965,-0.302929,-0.360677,-0.008180999999999999,-0.020228,0.0014609999999999998,-7.49e-4,-1.49e-4,0.026836,-0.004614,0.003845,0.007823,-0.0073479999999999995,0.001383,0.0018759999999999998,-0.00549,0.009521,-0.0040669999999999994,-9.64e-4,-0.001676
Bolivia_Akapana_Tiwanaku:TW008,0.050081999999999995,-0.309736,0.122187,0.091409,-0.124023,-0.023427,-0.305749,-0.348678,-0.021066,-0.023873,0.003248,-0.003447,0.004014,0.029175999999999997,-0.013436,0.003845,0.00339,-5.07e-4,0.0012569999999999999,0.006003,-0.013102,1.24e-4,-7.39e-4,0.0036149999999999997,-0.009340000000000001
Bolivia_Akapana_Tiwanaku:TW060,0.059188,-0.311768,0.12181000000000003,0.104976,-0.111405,-0.027610000000000006,-0.30715899999999996,-0.364831,-0.008180999999999999,-0.009841,0.003248,-0.003597,0.004757,0.029038,-0.007871999999999999,-0.002254,0.021644,0.005320999999999999,-0.010182,-0.002251,0.007736,0.0056879999999999995,0.001972,-7.23e-4,9.58e-4
Bolivia_Akapana_Tiwanaku:TW061,0.044391,-0.296535,0.120301,0.085272,-0.11356000000000001,-0.014223,-0.29611299999999996,-0.348447,-0.017998,-0.013303,-0.0034100000000000003,0.001349,0.001487,0.018441,-0.009908,-0.0010609999999999999,-3.9099999999999996e-4,-0.012669,-0.005279,0.005877999999999999,0.013601,0.004451,-0.010230000000000001,0.001807,0.006346999999999999
Bolivia_Akapana_Tiwanaku:TW097,0.035285,-0.311768,0.129352,0.095285,-0.103712,-0.022590000000000002,-0.30269399999999996,-0.355831,-0.016566,-0.017495,-1.6199999999999998e-4,0.007493,0.004162,0.020643,-0.005157,1.33e-4,0.0103,-1.27e-4,0.008673,-0.0037519999999999997,0.016596,0.012489,-0.001972,0.010122,-0.006826
Bolivia_Lukurmata_Tiwanaku:TW027,0.039838,-0.309736,0.116153,0.092055,-0.107405,-0.017012,-0.29916899999999996,-0.354678,-0.014112,-0.013485,-0.009419,-0.003297,-0.005203,0.023533,-0.008143,-1.33e-4,0.002217,-0.002407,-1.26e-4,0.005127,0.003619,0.004699,-0.004437,0.00723,-0.003473
Bolivia_MH_Iroco_1050BP:IO2,0.055773,-0.316845,0.114268,0.097546,-0.11079000000000001,-0.017291,-0.303869,-0.351908,-0.006954,-0.015126,0.003735,0.0016489999999999999,0.0050539999999999995,0.027937,-0.010858,0.002519,0.009388,-0.002407,0.00176,0.002876,6.24e-4,0.00136,-0.002711,8.43e-4,-0.005868
Bolivia_MH_Tiwanaku:I0978,0.050081999999999995,-0.316845,0.108234,0.093993,-0.124331,-0.020359,-0.31068399999999996,-0.365985,-0.013499,-0.015126,-0.0060079999999999995,0.005395,0.001487,0.016790000000000006,-0.010043,0.009281,0.006389,-0.002407,0.0016339999999999998,0,0.008858999999999999,-0.004575,-0.006162,0.004699,-0.006107
Bolivia_MonolitoDescabezado_Tiwanaku:TW056,0.045529,-0.310752,0.109365,0.098838,-0.114175,-0.016176,-0.29329299999999997,-0.34314,-0.007976,-0.015308,0.003573,0.004196,7.43e-4,0.029314,-0.0025789999999999997,0.004508,0.010561,-0.0073479999999999995,0.0032679999999999996,-0.001251,1.25e-4,-1.24e-4,-0.004807,1.2000000000000002e-4,-0.010298
Bolivia_Pumapunku_Tiwanaku:TW059,0.048943999999999994,-0.30872099999999997,0.11653000000000001,0.090763,-0.109867,-0.007809,-0.308099,-0.358139,-0.013090000000000001,-0.016583,-0.010555,-0.004046,0.010109,0.023396,0.0066500000000000005,0.009149,0.014081,-0.002407,-8.8e-4,0.002751,-3.74e-4,6.18e-4,-0.005915999999999999,2.4099999999999998e-4,-0.008742
Bolivia_Putuni_Tiwanaku:TW063,0.044391,-0.311768,0.122187,0.094639,-0.106789,-0.018965,-0.292823,-0.342447,-0.012271,-0.017495,9.739999999999999e-4,-0.006144999999999999,0.004014,0.022295,-0.007329,0.002784,-0.002608,0.003294,-0.0012569999999999999,-0.006003,0.0034939999999999997,0.007542999999999999,-0.004807,-0.005422,0.006227
Bolivia_Totocachi_Tiwanaku:TW033,0.058050000000000004,-0.30872099999999997,0.114268,0.099484,-0.124639,-0.016732999999999998,-0.30363399999999996,-0.386061,-0.008385,-0.010205,-0.002436,0.004496,0.002379,0.019680000000000007,-0.015743999999999998,0.010872,0.014081,-0.006208,0.001006,-0.004377,-0.004367,0.0019779999999999997,-0.001725,0.009760000000000001,0.007305
BosniaHerzegovina_Medieval:I19561,0.12634399999999998,0.13100299999999998,0.065242,0.051680000000000004,0.030775,0.027610000000000006,0.009635,0.009692,-0.007363,-0.010752,-0.005846,-0.002248,0.004757,0.030552,-0.010858,-0.006098999999999999,-0.015255,-0.0013939999999999998,0.006535999999999999,-0.009004,-0.008858999999999999,1.24e-4,0.015529,0.001325,0.002036
Bulgaria_Medieval:I10548,0.12748199999999998,0.128972,0.026021,0.006783,0.018773,0.006972,0.002585,0.008076999999999999,-6.14e-4,-0.004008999999999999,-0.001299,-0.0019479999999999999,0.012042,0.0055049999999999995,-0.0019,9.28e-4,-0.002868,-0.003547,5.03e-4,0.0050019999999999995,-0.003119,4.95e-4,0.0066549999999999995,-6.02e-4,-0.0029939999999999997
Bulgaria_Medieval:I17980,0.117238,0.13811199999999998,0,-0.014858,0.0046159999999999994,0.001673,-0.0032900000000000004,-0.004846,-0.009817,0.009112,0.002436,0.007643,1.49e-4,0.007293999999999999,-0.013572,0.009016,0.017993,0.0040539999999999994,0.0026400000000000004,-0.010255,-0.007861,-0.002597,0.007148,0.004216999999999999,-0.004190999999999999
Bulgaria_Medieval_oEastAsia:I2525,0.10927,0.072103,0.042991999999999995,0.010982,0.008001,-8.37e-4,0.007050000000000002,0.003692,-2.05e-4,0.0021869999999999997,-0.001137,0.005245,0.001635,0.004404,-0.004614,-0.013524,-0.014603,0.003927,0.003645,0.006003,-0.012353,8.659999999999999e-4,-9.86e-4,-0.001687,0.001317
Canada_700BP.SG:MARC1492,0.052359,-0.319892,0.120679,0.091409,-0.10125,0.004183,-0.208689,-0.249682,-0.0022500000000000003,-0.026789,-9.739999999999999e-4,-0.002548,-0.003717,0.018441,-4.0699999999999997e-4,0.021612,0.008995999999999999,0.012289,0.0026400000000000004,-0.009880000000000003,-0.006364,-0.010140000000000001,-0.009244,0.005422,0.009819
CanaryIslands_Guanche.SG:gun005,-0.019350000000000006,0.12592599999999998,0.004148,-0.056848,0.049855,-0.029841,-0.034782,0.005307,0.066675,0.028247,0.00406,-0.006894,0.016204,-0.015276,0.019544,0.001856,0.017993,-0.01761,-0.034567,0.018384,-0.014100000000000001,-0.025595999999999997,0.020706,-0.006144999999999999,-0.011376
CanaryIslands_Guanche.SG:gun008,-0.027318,0.139128,7.54e-4,-0.06815299999999999,0.042162,-0.036256,-0.022561,0.005537999999999999,0.06381099999999999,0.030615999999999997,0.009256,-7.49e-4,0.015609,-0.015964,0.022937,-0.026385,-0.008605,-0.020270000000000007,-0.040600000000000004,0.007128,-0.016097,-0.028935,0.018734,0.002892,-7.18e-4
CanaryIslands_Guanche.SG:gun011,-0.044391,0.13100299999999998,-0.005280000000000002,-0.066861,0.030775,-0.03765,-0.034076999999999996,0.008538,0.07281,0.027335,0.006658,-0.006894,0.024380000000000002,-0.009634,0.024700999999999997,-0.018297,-0.007823,-0.016975999999999998,-0.052416,0.008128999999999999,-0.019091,-0.045752,0.023047,-0.007832,0.013771
CanaryIslands_Guanche.SG:gun012,-0.055773,0.13811199999999998,-0.0030169999999999997,-0.078489,0.023080999999999997,-0.037929,-0.029141,0.006,0.080173,0.022597,0.007956999999999999,-0.008243,0.01115,-0.025873,0.028093999999999997,-0.012994,0.012386,-0.020524,-0.047011,0.008128999999999999,-0.009858,-0.042660000000000003,0.022308,-0.00253,0.011616
Chile_CaletaHuelen_MH_1100BP:I2538,0.054635,-0.32395399999999996,0.12520399999999998,0.092055,-0.122177,-0.026774,-0.29164799999999996,-0.34590899999999997,-0.01493,-0.023144,-0.012666,-0.009292,0.0068379999999999995,0.018579,-0.018594,0.009944,-9.13e-4,0.011909,0.002137,0.003377,-0.003868,-2.47e-4,-0.008133999999999999,0.001928,0.001437
Chile_Conchali_700BP:I1752,0.054635,-0.314814,0.119547,0.093993,-0.11756000000000001,-0.021753,-0.29164799999999996,-0.351908,-0.013294,-0.020775,0.002923,-0.0019479999999999999,0.0050539999999999995,0.023671,-0.009908,3.9799999999999997e-4,0.009257,8.87e-4,0.005279,0.001,-0.0044919999999999995,-4.95e-4,-0.0014789999999999998,0.004940000000000002,-0.005149
Chile_Conchali_700BP:I1754,0.055773,-0.317861,0.116907,0.086564,-0.119407,-0.016732999999999998,-0.296583,-0.35329299999999997,-0.007976,-0.020046,-0.001949,-4.5e-4,-0.004014,0.024497,-0.006785999999999999,0.001591,0.010561,5.07e-4,-0.005279,0.003502,0.0017469999999999999,0.009769,-0.007395,-0.002771,0.005389
Chile_LIP_Pukara_600BP:I17497,0.045529,-0.328016,0.113136,0.111436,-0.114175,-0.021753,-0.32173,-0.368754,-0.022293,-0.004556,-0.002761,0.003447,-0.0066900000000000015,0.029038,0.002036,0.013392,0.019297,-0.017103,-5.03e-4,-0.0020009999999999997,-0.002496,0.014220000000000003,-0.005176,0.009278,0.006945
Chile_LIP_Pukara_700BP:I14009,0.059188,-0.322938,0.128598,0.099807,-0.116637,-0.028726,-0.31679399999999996,-0.359062,-0.016975,-0.002734,-0.006333,0.0016489999999999999,0.005203,0.028626,-0.001493,0.004641,0.002217,0.009628,-0.003645,-0.003377,-0.0022459999999999997,3.7099999999999996e-4,-0.0045600000000000016,2.4099999999999998e-4,0.001197
Chile_PicaOcho_700BP:I2537,0.05122,-0.314814,0.124827,0.0969,-0.119715,-0.019801,-0.301284,-0.364369,-0.019225,-0.015672,6.500000000000001e-4,-1.5e-4,0.001784,0.025185,-0.005836,-0.001193,0.011865,0.002914,0.0026400000000000004,-0.001501,-0.004991,0.013725,-0.006039,0.004338,-0.003473
Chile_WesternArchipelago_Kaweskar_800BP.SG:IPK12,0.054635,-0.314814,0.116907,0.095608,-0.10802,-0.017849,-0.288593,-0.35237,-0.015747999999999998,-0.023508,-0.0017859999999999998,-0.0029969999999999997,-8.92e-4,0.025734999999999997,-0.012486,0.002387,0.001695,-0.001014,-0.005405,0.0037519999999999997,-0.007736,6.18e-4,-0.00493,-0.006385999999999999,-0.003712
Chile_Yamana_BeagleChannel_800BP.SG:IPY10,0.054635,-0.31583,0.12181000000000003,0.093024,-0.118176,-0.015896999999999998,-0.284833,-0.34014000000000005,-0.012885,-0.023326,-0.005521,0.003897,0.002081,0.021469,-0.009636,0.0035800000000000003,1.3000000000000002e-4,-0.0036739999999999997,-0.003645,-0.0040019999999999995,-3.74e-4,0.0021019999999999997,-0.0036969999999999998,-1.2000000000000002e-4,0.002036
China_Guangxi_Cenxun_Sui_Tang:CenxunKP07,0.013659,-0.432616,-0.034318,-0.053294999999999995,0.130486,0.085619,-0.011281,-0.002077,-0.024338,-0.010387,0.028256,-0.0029969999999999997,0.0034189999999999997,6.879999999999999e-4,0.019815,0.006232,0.001956,-0.006208,0.002137,-0.003502,0.027701,0.005563999999999999,0.023294,-0.0036149999999999997,0.008022999999999999
China_Guangxi_Shenxian_Sui_Tang:ShenxianKP09,0.010244,-0.4224600000000001,-0.046009,-0.048450000000000014,0.134487,0.060519,-0.0094,-0.013846,-0.020861,-0.010752,0.016401,0.007943,0.001189,-0.004542,0.004207,0.006098999999999999,-0.0020859999999999997,-0.009248,-0.003771,-0.013882,0.016346,0.010140000000000001,0.019596,-0.004097,0.002275
Croatia_Medieval:I15462,0.108132,0.144205,0.0030169999999999997,-0.040698,0.023389,-0.0064139999999999996,0.005405,0.005307,0.001432,0.029522,-4.8699999999999997e-4,0.009442,-0.013231,-0.007982,-0.008143,0.013259,0.025555,-0.007981,0.004148,-0.005127,-0.005366,0.006059,0.001109,3.61e-4,-0.0017959999999999999
Croatia_Medieval:I15741,0.121791,0.147252,-0.0030169999999999997,-0.027455,0.022158,-0.013945,0.002585,-4.619999999999999e-4,-0.005522,0.012392,0.003085,0.010790000000000001,-0.016204,-0.008257,-0.005293,0.009414,0.017211,-0.0038009999999999997,-0.001383,0.002626,-0.0014969999999999998,0.004451,7.39e-4,0.013134,-0.003952
Croatia_Medieval:I15743,0.114961,0.14826699999999998,0.012822,-0.017765,0.022466,-0.009482,-0.003055,0.004154,0.0038859999999999997,0.017677,0.001949,0.003297,-0.01115,0.0027519999999999997,-0.005836,0.0037129999999999997,0.008605,0.0022800000000000003,0.004902,-0.005627999999999999,-0.010232,-0.006059,-3.7000000000000005e-4,-0.00253,0.002634
